title,id,subCount,videoCount,viewCount,vidTitle,vidid,date,likes,dislikes,vid_views,vid_duration,vid_caption,likeRatio,startYear,startMonth,endYear,endMonth,interestChange,goodYoutuber,duration,Weighted_Sentiments
Fab Jennie,UCWY7pNVInGx3XcnsLp47E_Q,18300.0,477.0,5494400.0,Estee Lauder Double Wear Maximum Cover Foundation Review!,GpiL9gRIj3I,2018-08-12,268.0,13.0,8702.0,PT7M13S,False,0.9537366548042704,2018,8,2018,8,175.98000000000005,1,433,4.825646631723324
Katherine Bond,UC7Jfp_0DhtHi5VIJTWYk3Lg,125000.0,195.0,9471411.0,Estee Lauder Double Wear Foundation First Impression / Review / Demo,HTb9VXYYQLE,2016-05-17,256.0,47.0,68468.0,PT4M34S,True,0.8448844884488449,2016,5,2016,5,-32.725000000000136,0,274,4.6418453189216455
ouch110 Fragrance Reviews,UCIoOAUDFs-6PpwPQ1Hfn-Ow,23100.0,725.0,4980407.0,Estee Lauder &quot;Wood Mystique&quot; Fragrance Review,vrJEaJ2GnwE,2015-01-10,96.0,3.0,5781.0,PT10M14S,False,0.9696969696969696,2015,1,2015,1,187.22000000000003,1,614,4.204534063419245
Cin Mixed,UCwrNA_6UyibUJh8ejnWJBgQ,22600.0,436.0,2368261.0,En 3 minutos - Review &quot;Double Wear&quot; Estée Lauder,V4wcCEHQOaI,2018-01-05,190.0,13.0,9723.0,PT3M34S,False,0.9359605911330048,2018,1,2018,1,239.93000000000006,1,214,4.111607008031281
Mellow Beauty,UC74w8ZLo31JI4gBHTpyI5aw,1200.0,112.0,68810.0,ESTEE LAUDER BRONZE GODDESS COLLECTION 2020 | REVIEW &amp; SWATCHES,4KhG0I9z_Hc,2020-05-28,78.0,5.0,3447.0,PT27M29S,False,0.9397590361445785,2020,5,2020,6,28.904999999999863,1,1649,0.46748394889010225
Devita Lesmana,UCOv7_83Vm-z5xM8Hloyq3AA,44100.0,260.0,4292195.0,Estee Lauder Double Wear Foundation Review,Y0TrPrLYRU4,2017-06-22,124.0,79.0,39656.0,PT13M44S,False,0.6108374384236454,2017,6,2017,7,77.8549999999999,1,824,5.364301037148004
Nishitha Vunnam,UCds8JWUWtmAtiCEMZeL9PVQ,9240.0,230.0,1149249.0,Estée Lauder Futurist Hydra Rescue Foundation Review/WearTest On Tan/Medium/Brown/Warm Skin,Xs5ryITCQdE,2020-02-27,119.0,4.0,6059.0,PT14M32S,False,0.9674796747967479,2020,2,2020,3,59.46500000000003,1,872,2.6293079851762395
NettyBeautyLife NBL,UC5TwpipeRp0pgbzGMLjRmtQ,5360.0,52.0,502095.0,Review แป้งผสมรองพื้น Estee Lauder Double Wear Stay In Place Matte Powder Foundation SPF10,lUC-0Sf7m0s,2019-03-14,96.0,11.0,13355.0,PT12M52S,False,0.8971962616822429,2019,3,2019,3,33.785000000000075,1,772,0.0
Delicious Delights,UCB2uEErrIJUDwNHGAnPdojA,23400.0,916.0,5949919.0,ESTEE LAUDER BEAUTIFUL BELLE REVIEW | &quot;LADY MUSK&quot; Ruined This Perfume!!!,o704cZL7MtI,2019-12-03,106.0,3.0,4951.0,PT7M39S,False,0.9724770642201837,2019,12,2019,12,-377.98,0,459,-0.6837795784660244
Yeha Marin,UCj7M2ogw8l8qwIQUdCmPZsw,538.0,56.0,167601.0,Foundation Review: NARS VS Estee Lauder,Ou9g_wjEj-0,2015-04-04,131.0,25.0,32149.0,PT10M59S,True,0.8397435897435898,2015,4,2015,4,-147.41999999999996,0,659,0.8912974875292831
